results, time taken, number of times clicked, dragging, rotating
level3
Lost, 4.615933,1,1,0
level3
Lost, 6.611928,2,2,0
level3
Lost, 5.666763,2,2,0
level3
final_1
final_1
Lost, 2.172838,2,2,0
final_1
level3
Lost, 1.008225,2,2,0
level3
Lost, 0.5133029,1,1,0
level3
level select
level select
level1
Won, 20.41737,7,1,1
level2
level select
level1
Won, 11.65636,3,0,1
level2
level select
level1
Won, 12.24794,3,0,1
level2
level select
level select
level1
Won, 15.24999,4,0,2
level2
level select
level1
Won, 12.73154,3,0,1
level2
level select
level1
Won, 13.06228,4,1,1
level select
level select
level1
Won, 13.05329,4,1,1
level select
level1
Won, 13.61677,4,1,1
level select
level select
level2
level2
level2
level2
level2
level2
level2
Won, 33.66984,6,2,2
level2
Won, 21.82207,5,2,2
level4
Lost, 32.58488,0,2,2
level4
level4
Lost, 11.77938,0,1,1
level4
Lost, 26.57304,0,1,3
level4
level4
level4
level4
level4
level4
level4
level1
level5
level5
level5
level5
level5
level5
level5
Lost, 4.001434,4,4,0
level5
level5
level5
level5
level5
level5
level5
level5
level5
level5
level5
Lost, 34.3872,14,13,1
level5
level4
level4
Lost, 20.48317,0,1,4
level4
level5
level5
Won, 118.175,44,30,12
level5
level5
Lost, 4.907759,2,2,0
level5
level5
level5
level5
level5
level5
level2
level2
level2
level2
level5
level5
level5
Lost, 4.974444,2,2,0
level5
level2
level5
level7
level7
level7
Lost, 3.855923,2,0,2
level7
level7
level7
level7
level7
level7
level select
level select
level select
level select
level select
level2
level3
level6
level select
final_1
Lost, 2.652166,3,3,0
final_1
level select
final_1
Lost, 2.063862,3,3,0
final_1
Lost, 2.18465,3,3,0
final_1
Lost, 1.823271,2,2,0
final_1
Lost, 1.649132,2,2,0
final_1
Lost, 1.789922,2,2,0
final_1
level select
final_1
level select
level select
final_1
final_1
Lost, 2.950055,2,1,1
final_1
level6
Lost, 1.774598,2,2,0
level6
Lost, 20.38127,10,7,3
level6
Lost, 44.04512,23,15,3
level6
level6
Lost, 70.81978,31,23,4
level6
level6
Lost, 24.09846,14,10,4
level6
Lost, 35.46258,14,7,3
level6
Lost, 41.33913,16,10,3
level6
level7
level7
final_1
final_1
final_1
final_1
final_1
Lost, 5.313783,1,1,0
final_1
final_1
final_1
final_1
Lost, 35.30558,12,12,0
final_1
final_1
final_1
final_1
Lost, 17.08067,10,10,0
final_1
level3
final_1
final_1
final_1
final_1
final_1
final_1
final_1
final_1
Lost, 8.2724,8,8,0
final_1
final_1
final_3
final_3
final_3
level select
level select
level1
level select
level select
level select
level1
Won, 17.79038,3,0,1
attempts,0
level2
Won, 24.13309,5,2,2
attempts,0
level1
Won, 14.9799,2,0,1
attempts,0
level5
Lost, 2.826998,2,2,0
level5
level5
level5
level5
final_2
Lost, 0.7468069,1,1,0
final_2
final_1
final_1
final_1
final_1
Lost, 54.99751,21,21,0
final_1
final_1
Lost, 8.717522,9,9,0
final_1
final_1
level1
Won, 14.37173,2,0,1
attempts,0
level2
final_2
final_2
final_2
final_2
final_2
Lost, 39.49356,22,17,4
final_2
Lost, 22.84022,9,7,2
final_2
final_2
Lost, 30.16493,5,2,3
final_2
final_2
final_2
final_1
Won, 59.76479,34,24,7
attempts,0
final_2
level2
final_2
Lost, 30.16336,6,3,3
final_2
Won, 44.85715,12,6,5
attempts,1
final_2
